calflora_binomial,synonym
Acmispon glaber,Lotus scoparius
Antirrhinum multiflorum,Sairocarpus multiflorus
Drymocallis lactea,Potentilla glandulosa
Festuca temulenta,Lolium temulentum
Linanthus californicus,Leptodactylon californicum
Lysimachia arvensis,Anagallis arvensis
Acmispon americanus,Lotus americanus
Acmispon brachycarpus,Lotus humistratus
Acmispon grandiflorus,Lotus grandiflorus
Acmispon maritimus,Lotus maritimus
Acmispon strigosus,Lotus strigosus
Acmispon wrangelianus,Lotus wrangelianus
Calandrinia menziesii,Calandrinia ciliata
Camissoniopsis intermedia,Camissonia intermedia
Camissoniopsis micrantha,Camissonia micrantha
Croton setiger,Croton setigerus
Elymus ponticus,Thinopyrum ponticum
Eremothera boothii,Camissonia boothii
Festuca perennis,Lolium perenne
Gilia austro-occidentalis,Gilia austrooccidentalis
Logfia filaginoides,Filago californica
Marah fabacea,Marah fabaceus
Papaver heterophyllum,Stylomecon heterophylla
Primula clevelandii,Dodecatheon clevelandii
Tetrapteron graciliflorum,Camissonia graciliflora
Toxicoscordion fremontii,Zigadenus fremontii
